"""Origen""","""Destino""","""Valor"""
'Cordoba',' Navarra',6
'Cordoba',' Ourense',3
'Cordoba',' Palencia',1
'Cordoba',' Palmas_ Las',34
'Cordoba',' Pontevedra',9
'Cordoba',' Rioja_ La',5
'Cordoba',' Salamanca',4
'Cordoba',' Santa Cruz de Tenerife',25
'Cordoba',' Segovia',2
'Cordoba',' Sevilla',324
'Cordoba',' Soria', 
'Cordoba',' Tarragona',20
'Cordoba',' Teruel',3
'Cordoba',' Toledo',30
'Cordoba',' Valencia_València',46
'Cordoba',' Valladolid',8
'Cordoba',' Zamora',4
'Cordoba',' Zaragoza',18
'Cordoba',' Ceuta',18
'Cordoba',' Melilla',15
'Coruña_ A',' Albacete',13
'Coruña_ A',' Alicante_Alacant',77
'Coruña_ A',' Almeria',27
'Coruña_ A',' Araba_alava',13
'Coruña_ A',' Asturias',168
'Coruña_ A',' avila',3
'Coruña_ A',' Badajoz',20
'Coruña_ A',' Balears_ Illes',84
'Coruña_ A',' Barcelona',205
'Coruña_ A',' Bizkaia',88
'Coruña_ A',' Burgos',22
'Coruña_ A',' Caceres',21
'Coruña_ A',' Cadiz',132
'Coruña_ A',' Cantabria',32
'Coruña_ A',' Castellon_Castello',18
'Coruña_ A',' Ciudad Real',18
'Coruña_ A',' Cordoba',13
'Coruña_ A',' Coruña_ A', 
'Coruña_ A',' Cuenca',5
'Coruña_ A',' Gipuzkoa',26
'Coruña_ A',' Girona',23
'Coruña_ A',' Granada',15
'Coruña_ A',' Guadalajara',17
'Coruña_ A',' Huelva',17
'Coruña_ A',' Huesca',7
'Coruña_ A',' Jaen',20
'Coruña_ A',' Leon',105
'Coruña_ A',' Lleida',10
'Coruña_ A',' Lugo',445
'Coruña_ A',' Madrid',539
'Coruña_ A',' Malaga',64
'Coruña_ A',' Murcia',67
'Coruña_ A',' Navarra',22
'Coruña_ A',' Ourense',243
'Coruña_ A',' Palencia',11
'Coruña_ A',' Palmas_ Las',165
'Coruña_ A',' Pontevedra',727
'Coruña_ A',' Rioja_ La',20
'Coruña_ A',' Salamanca',22
'Coruña_ A',' Santa Cruz de Tenerife',91
'Coruña_ A',' Segovia',15
'Coruña_ A',' Sevilla',45
'Coruña_ A',' Soria',2
'Coruña_ A',' Tarragona',32
'Coruña_ A',' Teruel',7
'Coruña_ A',' Toledo',28
'Coruña_ A',' Valencia_València',57
'Coruña_ A',' Valladolid',34
'Coruña_ A',' Zamora',19
'Coruña_ A',' Zaragoza',33
'Coruña_ A',' Ceuta',3
'Coruña_ A',' Melilla',8
'Cuenca',' Albacete',154
'Cuenca',' Alicante_Alacant',44
'Cuenca',' Almeria',12
'Cuenca',' Araba_alava',1
'Cuenca',' Asturias',5
'Cuenca',' avila',1
'Cuenca',' Badajoz',2
